"item","objecttitel","itemLabel","objectsoortLabel","beroepLabel","collectieLabel","floruit","werklocatieLabel","qid"
"http://www.wikidata.org/entity/Q135300331","Menukaart voor het kerstdiner van 1950 a/b ms. 'Westerdam' van de Holland-Amerika Lijn","F.W. Wilde","menukaart","grafisch ontwerper","Het Scheepvaartmuseum","1925","","Q135300331"
"http://www.wikidata.org/entity/Q135300326","Stukken over de runabout voor het jacht 'Piet Hein'","F. Steinmetz","brief","auteur","Het Scheepvaartmuseum","1950","","Q135300326"
"http://www.wikidata.org/entity/Q135300323","Factuur van F.Ovsiannicoff te Sint Petersburg voor G. Brüning & Zoon te Amsterdam","F. Ovsiannicoff","factuur","","Het Scheepvaartmuseum","","Sint-Petersburg","Q135300323"
"http://www.wikidata.org/entity/Q135300322","Zeilwedstrijd in Grouw","F. Ost","prent","prentkunstenaar","Het Scheepvaartmuseum","1886","","Q135300322"
"http://www.wikidata.org/entity/Q135300313","Briefwisseling inzake het afscheidswoord aan de heer Haverkamp","F.J. Visser","brief","auteur","Het Scheepvaartmuseum","","","Q135300313"
"http://www.wikidata.org/entity/Q135300304","Het eiland Wight","F. Geiger","tekening","tekenaar","Het Scheepvaartmuseum","","Eiland Wight","Q135300304"
"http://www.wikidata.org/entity/Q135300288","Een serie van zes blanco menukaarten van de SMN","F. E. Hamers Dukkers","menukaart","grafisch ontwerper","Het Scheepvaartmuseum","1954","","Q135300288"
"http://www.wikidata.org/entity/Q135300285","Lijnenplan van het motorjacht 'Jimax'","Edwin Monk","technische tekening","scheepsarchitect","Het Scheepvaartmuseum","","Seattle","Q135300285"
"http://www.wikidata.org/entity/Q135300287","Grootboek van de firma E. Haubrich","Ernst Haubrich","grootboek","","Het Scheepvaartmuseum","","Rotterdam","Q135300287"
"http://www.wikidata.org/entity/Q135300278","Album met fotos van de deelneemsters aan een roei- en zeilkamp voor meisjes","E. Voorbeytel","fotoalbum","fotograaf","Het Scheepvaartmuseum","1937","","Q135300278"
